Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
403,management revue -The international Review of Management Studies,D,5.9968642471
404,Research in Higher Education,D,5.9948228256
405,Internationales Steuerrecht,D,5.9948087978
406,International Journal of Business and Economics,D,5.9877533761
407,"Intelligent Systems in Accounting, Finance & Management (formerly: International Journal of Intelligent Systems in Accounting, Finance and Management)",D,5.9866089344
408,Advances in International Accounting,D,5.9843953644
409,International Review of Strategic Management,D,5.9771574323
410,International Journal of Logistics Management,D,5.97254612
411,Review of Business and Economic Research (formerly: Mississippi Valley Journal of Business and Economics),D,5.9709932968
412,SWI - Steuer und Wirtschaft International,D,5.9680094606
413,Information Resources Management Journal,D,5.9668752738
414,"International Journal of Accounting, Auditing and Performance Evaluation",D,5.9559377667
415,Personnel Review,D,5.9513746218
416,Journal of Business Strategies,D,5.9342774482
417,International Journal of Retail and Distribution Management (formerly: International Journal of Retailing),D,5.9327913778
418,Proceedings of the Americas Conference on Information Systems (AMCIS),D,5.9238481727
419,The International Journal of Entrepreneurship and Innovation,D,5.922994967
420,Leadership,D,5.9132327843
421,Journal of Knowledge Management,D,5.9014849647
422,Zeitschrift für Planung und Unternehmenssteuerung (formerly: Zeitschrift für Planung),D,5.8984220482
423,Knowledge Management Research and Practice,D,5.8917610275
424,Zeitschrift für Wirtschafts- und Unternehmensethik,D,5.8903895825
425,Zeitschrift für Arbeits und Organisationspsychologie,D,5.8861098447
426,"IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans",D,5.8847773428
427,Advances in Management Accounting,D,5.8759156603
428,Strategy & Leadership,D,5.8651134499
429,Thunderbird International Business Review,D,5.8587064486
430,Journal of General Management,D,5.8550963755
431,Zeitschrift für Bankrecht und Bankwirtschaft,D,5.8501838232
432,Accounting in Europe,D,5.8356523678
433,Umsatzsteuer Rundschau,D,5.8031792909
434,Journal of Product and Brand Management,D,5.7955532996
435,Tagungsbände der Konferenz Modellierung betrieblicher Informationssyteme (MOBIS),D,5.7954747834
436,"Information and Organisation (formerly: Accounting, Management and IT)",D,5.7897180763
437,IEEE Internet Computing,D,5.7888751485
438,Journal of Manufacturing and Operations Management,D,5.7825398049
439,Die Unternehmung - Swiss Journal of Business Research and Practice,D,5.7805743532
440,"Culture and Organization (formerly: Studies in Cultures, Organizations and Societies)",D,5.7741447333
441,Technology Analysis and Strategic Management,D,5.7728968421
442,Journal of Intellectual Capital,D,5.7603914425
443,European Sport Management Quarterly (formerly: European Journal for Sport Management),D,5.7575883267
444,International Entrepreneurship and Management Journal,D,5.7435618514
445,Zeitschrift für Energiewirtschaft,D,5.733442429
446,International Journal of Organisational Behaviour,D,5.7297759048
447,Zeitschrift für KMU und Entrepreneurship (formerly: Zeitschrift für Klein- und Mittelunternehmen; IGA - Internationales Gewerbearchiv),D,5.7249323749
448,Journal of Consumer Policy,D,5.7196402762
449,Journal of Accounting Education,D,5.7191603245
450,Arbeit,D,5.7134159104
451,British Tax Review,D,5.7125774076
452,International Transactions in Operational Research,D,5.6983971394
453,Perspektiven der Wirtschaftspolitik,D,5.6923165453
454,IBM Systems Journal,D,5.6893984013
455,Journal of Travel and Tourism Marketing,D,5.6827939646
456,Journal of Relationship Marketing,D,5.6815768529
457,International Journal of Business Environment,D,5.66944981
458,Zeitschrift für die gesamte Versicherungswissenschaft,D,5.6613550707
459,Journal of Cost Management,D,5.6531262715
460,Human Resource Development Review,D,5.6517698333
461,Journal of Consumer Affairs,D,5.6476613335
462,Technovation,D,5.635060026
463,Business Ethics - A European Review,D,5.615807279
464,Asia Pacific Business Review (formerly: Journal of Far Eastern Business),D,5.6062339756
465,Journal of Marketing Management,D,5.6059987021
466,American Review of Public Administration,D,5.6058027476
467,International Journal of Revenue Management,D,5.6011748744
468,Jahrbuch für Wirtschaftswissenschaften / Review of Economics,D,5.5996719482
469,"Consumption, Markets and Culture",D,5.5810603074
470,Issues in Accounting Education,D,5.5780110092
471,International Journal of Entrepreneurship and Innovation Management,D,5.5723468786
472,Betriebswirtschaftliche Forschung und Praxis BFuP,D,5.57141736
473,International Journal of Advertising,D,5.5704491429
474,Corporate Reputation Review,D,5.5520037113
475,Applied Financial Economics Letters,D,5.550137668
476,Frontiers of Entrepreneurship Research,D,5.5422868039
477,Zeitschrift für Arbeitsmarkt Forschung/Journal for Labour Market Research (formerly: Mitteilungen aus der Arbeitsmarkt- und Berufsforschung),D,5.5402854723
478,Intertax,D,5.5382163353
479,Journal of Applied Business Research,D,5.5228971373
480,European Journal of Innovation Management,D,5.519380248
481,Corporate Governance An International Review,D,5.5112438648
482,Marketing Theory and Applications (Proceedings of the AMA Winter Educators' Conference ),D,5.5097176917
483,Arbeits und Organisationspsychologie AO,D,5.5047638294
484,Journal of Applied Management Studies,D,5.499923034
485,"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",D,5.4530122204
486,IEEE Computer,D,5.4516795538
487,Greener Management International: The Journal of Corporate Environmental Strategy and Practice,D,5.4463399359
488,Sloan Management Review,D,5.4389507528
489,Research-Technology Management,D,5.437928611
490,Corporate Social Responsibility and Environmental Management (formerly: Eco Management and Auditing),D,5.4280495287
491,Computers in Industry,D,5.4198860587
492,Künstliche Intelligenz,D,5.4178855521
493,International Journal of Entrepreneurial Behaviour and Research,D,5.4132979143
494,Australian Journal of Management,D,5.4087677092
495,Academy of Marketing Science Review Online,D,5.405142184
496,International Journal of Business Performance Management IJBPM,D,5.3978115357
497,Australasian Marketing Journal,D,5.3947254199
498,International Journal of Business Strategy,D,5.3938393727
499,"Proceedings of the International Conference on e-Commerce, e-Business, and e-Government (I3E)",D,5.3789079496
500,"Entrepreneurship, Innovation and Change",D,5.3777620322
501,International Journal of Learning and Change,D,5.3719800243
502,Corporate Ownership and Control,D,5.3712114737
503,Journal of Marketing Education,D,5.3495577368
504,Journal of Organizational Change Management,D,5.3444040211
505,Personnel Management,D,5.3399569465
506,Zeitschrift für Controlling und Management ZfCM (formerly: Kostenrechnungspraxis KRP),D,5.3335896346
507,Harvard Business Review,D,5.3295423726
508,Recht der Internationalen Wirtschaft,D,5.3287437399
509,"GAIA - Ökologische Perspektiven in Natur-, Geistes- und Wirtschaftswissenschaften",D,5.32487388
510,Zeitschrift für Corporate Governance,D,5.3184516921
511,Zeitschrift für Arbeitswissenschaft,D,5.3150388457
512,Journal of Logistics and Information Management,D,5.3106084037
513,Bankhistorisches Archiv,D,5.3071144937
514,Bank Accounting and Finance,D,5.3002499342
515,Asia Pacific Journal of Management,D,5.2832204653
516,European Business Journal,D,5.2811071009
517,Proceedings of the International Conference on Database and Expert Systems Applications (DEXA),D,5.2740237281
518,Journal of Brand Management,D,5.2654706681
519,International Journal of Knowledge Management,D,5.2361678663
520,Service Industries Journal,D,5.2165981963
521,International Journal of Market Research,D,5.2105181229
522,Deutsches Steuerrecht,D,5.2063405705
523,Journal of the Market Research Society,D,5.2030965392
524,Journal of Electronic Commerce in Organizations,D,5.1748012462
525,Journal of Business and Industrial Marketing,D,5.1729278587
526,HMD - Praxis der Wirtschaftsinformatik,D,5.1590081367
527,Europäisches Wirtschafts und Steuerrecht. Betriebs-Berater für Europarecht,D,5.1543237107
528,Zeitschrift für das gesamte Genossenschaftswesen (ZfgG),D,5.1509085624
529,Österreichische Steuerzeitung,D,5.1464986342
530,Die Wirtschaftsprüfung,D,5.1329955808
531,International Journal of Bank Marketing,D,5.1292479167
532,Transnational Corporations,D,5.121409763
533,Journal of Consumer Marketing,D,5.1174495373
534,Journal of Small Business and Enterprise Development (JSBED),D,5.1139998245
535,International Journal of Internet Marketing and Advertising,D,5.1105794864
536,EC Tax Review,D,5.0994170984
537,Zeitschrift für Verkehrswissenschaft,D,5.0966823154
538,Datenschutz und Datensicherheit,D,5.0801206209
539,BIT - Banking and Information Technology,D,5.0662457697
