Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
653,Ökologisches Wirtschaften,E,2.7642159851
654,Personalführung,E,2.7301907217
655,Personal,E,2.7116864401
656,Personalwirtschaft,E,2.7077692247
657,Zeitschrift für wirtschaftlichen Fabrikbetrieb,E,2.6371484454
658,Industrie Management,E,2.5622999498
659,VDI-Z. Integrierte Produktion,E,2.4241766858
660,DUZ. Deutsche Universitäts-Zeitung,E,2.3224482638
661,Marketing News,E,2.2228172671
662,Logistik für Unternehmen,E,2.2011085897
663,Absatzwirtschaft. Zeitschrift für Marketing,E,2.1940850844
664,Logistik heute,E,2.1277460216
665,Personalmagazin,E,1.9135323709
666,IM - das österreichische Industriemagazin,E,1.870200938
